"","time.index","tv.volume","tv.spend","radio.volume","radio.spend","press.volume","press.spend","total.spend","brand.sales","competitor.sales","revenue","profit","tv.budget.index","tv.budget","radio.budget.index","radio.budget","press.budget.index","press.budget"
"36",88,79165234,475015.293166705,1518507,7592.10944701646,6007396,19827.536628752,502434.939242473,1171035,2791472,9368280,8865845.06075753,2,2400000,2,4e+05,2,9e+05
"37",89,0,0,3242835,16215.538889192,8089688,26689.6622226768,42905.2011118688,586298,1953303,4690384,4647478.79888813,2,2400000,2,4e+05,2,9e+05
"38",90,101475571,608874.757741338,0,0,8081728,26673.3130360443,635548.070777382,1387290,2802131,11098320,10462771.9292226,2,2400000,2,4e+05,2,9e+05
"39",91,0,0,6226027,31145.346157916,5520758,18231.2554150522,49376.6015729682,591992,1726644,4735936,4686559.39842703,2,2400000,2,4e+05,2,9e+05
"40",92,71447274,428702.980267604,0,0,6642229,21916.4698260589,450619.450093664,1508438,3001217,12067504,11616884.5499063,2,2400000,2,4e+05,2,9e+05
"41",93,0,0,2230416,11142.8403574272,7955724,26251.4501884426,37394.2905458698,825978,2336719,6607824,6570429.70945413,2,2400000,2,4e+05,2,9e+05
"42",94,0,0,2181128,10898.4974023975,5342882,17630.0807882934,28528.5781906909,711092,2350609,5688736,5660207.42180931,2,2400000,2,4e+05,2,9e+05
"43",95,0,0,42804,214.224250555435,7715998,25457.2569485851,25671.4811991406,637176,2263601,5097408,5071736.51880086,2,2400000,2,4e+05,2,9e+05
"44",96,0,0,412388,2061.80293271308,6281698,20738.8129660103,22800.6158987234,503499,1906036,4027992,4005191.38410128,2,2400000,2,4e+05,2,9e+05
"45",97,0,0,3238501,16205.6585830472,7478934,24685.3938322271,40891.0524152743,549053,2181595,4392424,4351532.94758473,2,2400000,2,4e+05,2,9e+05
"46",98,0,0,3305282,16535.3857855178,7127271,23545.4971085224,40080.8828940401,530512,2178693,4244096,4204015.11710596,2,2400000,2,4e+05,2,9e+05
"47",99,0,0,1759027,8788.02010598102,5931853,19575.6795274194,28363.6996334004,474237,2020886,3793896,3765532.3003666,2,2400000,2,4e+05,2,9e+05
"48",100,0,0,1490906,7455.7634063265,9160801,30233.0472294449,37688.8106357714,467146,1983218,3737168,3699479.18936423,2,2400000,2,4e+05,2,9e+05
"49",101,1899168,11389.5556654755,10107259,50539.3044334199,6126936,20223.6251445013,82152.4852433966,577549,2422095,4620392,4538239.5147566,2,2400000,2,4e+05,2,9e+05
"50",102,0,0,0,0,8792673,29001.9113105084,29001.9113105084,521841,2253512,4174728,4145726.08868949,2,2400000,2,4e+05,2,9e+05
"51",103,0,0,1838195,9191.1302302522,6508646,21467.3383852258,30658.468615478,501251,2222686,4010008,3979349.53138452,2,2400000,2,4e+05,2,9e+05
"52",104,32919390,197521.513619243,6719376,33584.5364322226,7379389,24346.2520701062,255452.302121571,1052303,2869714,8418424,8162971.69787843,2,2400000,2,4e+05,2,9e+05
"53",105,0,0,0,0,9166275,30260.6910680505,30260.6910680505,696990,2539296,5575920,5545659.30893195,3,2500000,3,3e+05,3,1200000
"54",106,0,0,1256142,6280.26805427055,6549735,21621.2475984825,27901.515652753,614050,2449564,4912400,4884498.48434725,3,2500000,3,3e+05,3,1200000
"55",107,0,0,883218,4421.70878279588,12319486,40661.6878492706,45083.3966320665,573088,2273322,4584704,4539620.60336793,3,2500000,3,3e+05,3,1200000
"56",108,0,0,60520,301.578545138169,5509940,18167.7032771337,18469.2818222719,555647,2342424,4445176,4426706.71817773,3,2500000,3,3e+05,3,1200000
"57",109,0,0,5612870,28055.9294132872,12393044,40907.7759130419,68963.7053263291,513561,2125898,4108488,4039524.29467367,3,2500000,3,3e+05,3,1200000
"58",110,0,0,0,0,4055047,13366.8821599025,13366.8821599025,476734,2105844,3813872,3800505.1178401,3,2500000,3,3e+05,3,1200000
"59",111,0,0,1556694,7783.45527755689,8973606,29621.5135758047,37404.9688533615,402568,1750989,3220544,3183139.03114664,3,2500000,3,3e+05,3,1200000
"60",112,0,0,0,0,2678607,8831.75647790031,8831.75647790031,584614,2704925,4676912,4668080.2435221,3,2500000,3,3e+05,3,1200000
"61",113,0,0,1521654,7612.36318380927,10572861,34884.7548233658,42497.1180071751,429728,1900262,3437824,3395326.88199283,3,2500000,3,3e+05,3,1200000
"62",114,0,0,0,0,3563296,11766.853524767,11766.853524767,559910,2602238,4479280,4467513.14647523,3,2500000,3,3e+05,3,1200000
"63",115,0,0,1463775,7319.04964170217,8806434,29054.2239598492,36373.2736015514,471273,2126893,3770184,3733810.72639845,3,2500000,3,3e+05,3,1200000
"64",116,0,0,1779101,8891.48564722622,3684946,12152.5127044568,21043.998351683,362308,1701715,2898464,2877420.00164832,3,2500000,3,3e+05,3,1200000
"65",117,0,0,0,0,7044325,23246.0312035018,23246.0312035018,382009,1755389,3056072,3032825.9687965,3,2500000,3,3e+05,3,1200000
"66",118,0,0,877946,4396.98914553861,2670931,8814.10554019311,13211.0946857317,371899,1782111,2975192,2961980.90531427,3,2500000,3,3e+05,3,1200000
"67",119,0,0,0,0,7922168,26146.9801845991,26146.9801845991,394937,1816063,3159496,3133349.0198154,3,2500000,3,3e+05,3,1200000
"68",120,0,0,0,0,5995453,19785.3775998977,19785.3775998977,362453,1682048,2899624,2879838.6224001,3,2500000,3,3e+05,3,1200000
"69",121,0,0,0,0,4718627,15580.6038003792,15580.6038003792,361102,1706674,2888816,2873235.39619962,3,2500000,3,3e+05,3,1200000
"70",122,0,0,1329497,6654.39569668169,5999044,19799.5062836325,26453.9019803141,321433,1507080,2571464,2545010.09801969,3,2500000,3,3e+05,3,1200000
"71",123,175102583,1050577.4593209,0,0,4575049,15098.5541427953,1065676.01346369,1442179,3178230,11537432,10471755.9865363,3,2500000,3,3e+05,3,1200000
"72",124,0,0,1256200,6282.10987604461,8162205,26949.159309165,33231.2691852096,624823,1925801,4998584,4965352.73081479,3,2500000,3,3e+05,3,1200000
"73",125,0,0,0,0,1131645,3731.03688118982,3731.03688118982,468648,1721964,3749184,3745452.96311881,3,2500000,3,3e+05,3,1200000
"74",126,0,0,2785890,13929.8569515889,10483894,34579.24539609,48509.1023476789,429351,1617185,3434808,3386298.89765232,3,2500000,3,3e+05,3,1200000
"75",127,0,0,0,0,232128,766.74926885302,766.74926885302,389288,1640394,3114304,3113537.25073115,3,2500000,3,3e+05,3,1200000
"76",128,0,0,0,0,7667095,25297.9511608095,25297.9511608095,447913,1868754,3583304,3558006.04883919,3,2500000,3,3e+05,3,1200000
"77",129,0,0,0,0,1246227,4124.18592687173,4124.18592687173,345016,1554560,2760128,2756003.81407313,3,2500000,3,3e+05,3,1200000
"78",130,0,0,1340002,6700.69240925994,7838880,25865.3566675476,32566.0490768076,359827,1583606,2878616,2846049.95092319,3,2500000,3,3e+05,3,1200000
"79",131,0,0,0,0,2569448,8474.52289351406,8474.52289351406,356644,1662519,2853152,2844677.47710649,3,2500000,3,3e+05,3,1200000
"80",132,0,0,0,0,8013293,26444.4971773991,26444.4971773991,325313,1463808,2602504,2576059.5028226,3,2500000,3,3e+05,3,1200000
"81",133,0,0,76118,379.487682764621,855484,2823.54931904895,3203.03700181357,297020,1431270,2376160,2372956.96299819,3,2500000,3,3e+05,3,1200000
"82",134,0,0,0,0,7412682,24459.1813623721,24459.1813623721,313064,1448115,2504512,2480052.81863763,3,2500000,3,3e+05,3,1200000
"83",135,0,0,3323622,16614.3658466709,802456,2657.06095685191,19271.4268035228,299129,1473424,2393032,2373760.57319648,3,2500000,3,3e+05,3,1200000
"84",136,0,0,0,0,8147355,26883.6324345777,26883.6324345777,332169,1543877,2657352,2630468.36756542,3,2500000,3,3e+05,3,1200000
"85",137,0,0,1121611,5615.16996018631,4322322,14252.5948324764,19867.7647926628,314090,1494402,2512720,2492852.23520734,3,2500000,3,3e+05,3,1200000
"86",138,0,0,0,0,4380702,14451.4508949871,14451.4508949871,298281,1427658,2386248,2371796.54910501,3,2500000,3,3e+05,3,1200000
"87",139,0,0,2573606,12850.4669590134,5093765,16806.847426296,29657.3143853094,330252,1579210,2642016,2612358.68561469,3,2500000,3,3e+05,3,1200000
"88",140,0,0,3602736,18021.4980680835,8968313,29585.4242474139,47606.9223154973,332051,1529903,2656408,2608801.0776845,3,2500000,3,3e+05,3,1200000
"89",141,0,0,755343,3770.96188577227,8890804,29328.2007988442,33099.1626846165,367858,1678863,2942864,2909764.83731538,3,2500000,3,3e+05,3,1200000
"90",142,0,0,0,0,5167140,17049.1403855508,17049.1403855508,381652,1778472,3053216,3036166.85961445,3,2500000,3,3e+05,3,1200000
"91",143,64386208,386267.046860636,2753880,13759.186753421,10038929,33132.386223637,433158.619837694,965598,2333258,7724784,7291625.38016231,3,2500000,3,3e+05,3,1200000
"92",144,0,0,509742,2550.1470720947,9380626,30957.2964475889,33507.4435196836,544444,1824806,4355552,4322044.55648032,3,2500000,3,3e+05,3,1200000
"93",145,0,0,1481969,7405.47570767656,11323007,37376.7291411054,44782.2048487819,613649,2251560,4909192,4864409.79515122,3,2500000,3,3e+05,3,1200000
"94",146,0,0,578192,2892.7921847685,6522186,21518.570293316,24411.3624780845,466775,1828535,3734200,3709788.63752192,3,2500000,3,3e+05,3,1200000
"95",147,56717142,340307.939120002,2695363,13485.3778193393,11604300,38297.9363283978,392091.253267739,1265485,2903467,10123880,9731788.74673226,3,2500000,3,3e+05,3,1200000
"96",148,0,0,0,0,8095011,26710.180787223,26710.180787223,733618,2347492,5868944,5842233.81921278,3,2500000,3,3e+05,3,1200000
"97",149,0,0,4417470,22081.6025853407,11428579,37717.736448017,59799.3390333578,704053,2468312,5632424,5572624.66096664,3,2500000,3,3e+05,3,1200000
"98",150,0,0,0,0,10129394,33432.3045446224,33432.3045446224,636691,2356977,5093528,5060095.69545538,3,2500000,3,3e+05,3,1200000
"99",151,0,0,4339398,21707.4551743151,13674057,45135.7512345557,66843.2064088707,542160,2045776,4337280,4270436.79359113,3,2500000,3,3e+05,3,1200000
"100",152,0,0,2540916,12709.6482897707,7779938,25684.8433635117,38394.4916532824,601467,2417662,4811736,4773341.50834672,3,2500000,3,3e+05,3,1200000
"101",153,0,0,2232948,11168.2110939834,13187728,43526.3202291274,54694.5313231108,604479,2405469,4835832,4781137.46867689,3,2500000,3,3e+05,3,1200000
"102",154,120491341,722847.554698465,0,0,5785265,19097.2667198999,741944.821418364,1718638,3640231,13749104,13007159.1785816,3,2500000,3,3e+05,3,1200000
"103",155,0,0,5274541,26358.2702918991,12952584,42729.6368775502,69087.9071694492,905456,2698222,7243648,7174560.09283055,3,2500000,3,3e+05,3,1200000
"104",156,0,0,0,0,3146381,10384.4923345646,10384.4923345646,654114,2299670,5232912,5222527.50766543,3,2500000,3,3e+05,3,1200000
"105",157,0,0,7105505,35540.6520988206,10962889,36183.7968935576,71724.4489923781,711837,2619733,5694696,5622971.55100762,4,2300000,4,550000,4,1050000
"106",158,0,0,0,0,5405239,17833.9901715403,17833.9901715403,509691,2020683,4077528,4059694.00982846,4,2300000,4,550000,4,1050000
